1. After linking with hexagon
id=18994669, custId=129eff75-7ca0-498a-b7f0-ccf02ea11b01, eventTimestamp=2016-07-01T06:30:00.581+03:00, lon=-71.0776, hexagonId=72, polygonId=6, lat=42.3505
id=18994721, custId=61216166-e7d9-4d4a-943a-af15f521c544, eventTimestamp=2016-07-01T06:30:11.086+03:00, lon=-71.1761, hexagonId=null, polygonId=null, lat=42.4127
id=18996514, custId=15e981a9-be19-43c1-93ba-f9e89bdff57c, eventTimestamp=2016-07-01T06:37:04.458+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18994794, custId=2ea65e5e-fc68-4f09-8738-83c57f020eab, eventTimestamp=2016-07-01T06:30:23.546+03:00, lon=-71.0274, hexagonId=93, polygonId=11, lat=42.3356
id=18994744, custId=5d4b05a0-0694-41a8-8370-687f6936600e, eventTimestamp=2016-07-01T06:30:15.664+03:00, lon=-71.1297, hexagonId=58, polygonId=5, lat=42.3485
id=18995980, custId=cd044f1c-5818-49b3-9b89-09bf1cae9b52, eventTimestamp=2016-07-01T06:35:24.661+03:00, lon=-71.0462, hexagonId=225, polygonId=9, lat=42.3533
id=18996200, custId=9565a1c8-8795-4b37-be46-c86bb511c418, eventTimestamp=2016-07-01T06:36:06.556+03:00, lon=-71.0624, hexagonId=225, polygonId=9, lat=42.3552
id=18996971, custId=d36b67fe-9e42-4c41-805d-e52009ae5913, eventTimestamp=2016-07-01T06:39:09.897+03:00, lon=-71.1223, hexagonId=null, polygonId=null, lat=42.4138
id=18995089, custId=bc6440ac-7809-4c6f-99cf-28a6467279ff, eventTimestamp=2016-07-01T06:31:31.075+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18995116, custId=e483423a-4b53-4a1d-a3a5-ed294003009b, eventTimestamp=2016-07-01T06:31:39.124+03:00, lon=-71.0185, hexagonId=94, polygonId=9, lat=42.3698
id=18995409, custId=a92321e3-da46-4721-a809-9c7820ad88e7, eventTimestamp=2016-07-01T06:32:53.009+03:00, lon=-71.0554, hexagonId=79, polygonId=6, lat=42.3423
id=18995518, custId=7c8108d9-2bf2-485f-bc1f-7796cc3e5160, eventTimestamp=2016-07-01T06:33:21.228+03:00, lon=-71.0645, hexagonId=218, polygonId=7, lat=42.3798
